plotcode,treatment,year,species_other,sowndiv,AGB.mix,biomass.y,AGB.mono
B1A14,D1,2020,Pla.lan,8,10.38,78.23,9.77875
B1A14,D1,2020,Tri.fra,8,97.9,50.56,6.32
B1A14,D1,2021,Ant.syl,8,0,424.8,53.1
B1A14,D1,2021,Dau.car,8,0,325.2,40.65
B1A14,D1,2021,Leo.his,8,0,15.68,1.96
B1A14,D1,2021,Pla.lan,8,10.425,644,80.5
B1A14,D1,2021,Tri.fra,8,18.265,235,29.375
B1A15,D1,2017,Cre.bie,1,434,457.3,457.3
B1A15,D1,2018,Cre.bie,1,71.32,160.91,160.91
B1A15,D1,2019,Cre.bie,1,25.155,73.8,73.8
B1A15,D1,2020,Cre.bie,1,3.155,49.25,49.25
B1A15,D1,2021,Cre.bie,1,40.4,248.6,248.6
B1A16,D1,2017,Pla.lan,2,663.8,388.4,194.2
B1A16,D1,2017,Poa.pra,2,21.335,311.4,155.7
B1A16,D1,2018,Pla.lan,2,3.795,87.11,43.555
B1A16,D1,2018,Poa.pra,2,111.04,110.1,55.05
B1A16,D1,2019,Pla.lan,2,4.07,80.5,40.25
B1A16,D1,2019,Poa.pra,2,346.385,71.2,35.6
B1A16,D1,2020,Pla.lan,2,0.015,78.23,39.115
B1A16,D1,2020,Poa.pra,2,193.45,206.2,103.1
B1A16,D1,2021,Pla.lan,2,2.805,644,322
B1A16,D1,2021,Poa.pra,2,232.75,329.3,164.65
B1A17,D1,2017,Alo.pra,2,111.025,444,222
B1A17,D1,2017,Dau.car,2,587.45,614.4,307.2
B1A17,D1,2018,Alo.pra,2,187.25,272.93,136.465
B1A17,D1,2018,Dau.car,2,0,130.02,65.01
B1A17,D1,2019,Alo.pra,2,77.065,371.9,185.95
B1A17,D1,2019,Dau.car,2,0,432.3,216.15
B1A17,D1,2020,Alo.pra,2,130.35,114.1,57.05
B1A17,D1,2020,Dau.car,2,1.9,81.27,40.635
B1A17,D1,2021,Alo.pra,2,208.1,394.4,197.2
B1A17,D1,2021,Dau.car,2,10.05,325.2,162.6
